Site,Longitude,Latitude,Elevation (ft),Date,tmean_C
C03,-105.2946,40.1656,6266,5/12/2020,5.7
C03,-105.2946,40.1656,6266,5/13/2020,10.8
C03,-105.2946,40.1656,6266,5/14/2020,15.7
C03,-105.2946,40.1656,6266,5/15/2020,13.6
C03,-105.2946,40.1656,6266,5/16/2020,12.7
C03,-105.2946,40.1656,6266,5/17/2020,12.1
C03,-105.2946,40.1656,6266,5/18/2020,13.7
C03,-105.2946,40.1656,6266,5/19/2020,19.0
C03,-105.2946,40.1656,6266,5/20/2020,20.6
C03,-105.2946,40.1656,6266,5/21/2020,16.9
C03,-105.2946,40.1656,6266,5/22/2020,14.3
C03,-105.2946,40.1656,6266,5/23/2020,17.1
C03,-105.2946,40.1656,6266,5/24/2020,15.3
C03,-105.2946,40.1656,6266,5/25/2020,7.7
C03,-105.2946,40.1656,6266,5/26/2020,9.9
C03,-105.2946,40.1656,6266,5/27/2020,15.0
C03,-105.2946,40.1656,6266,5/28/2020,17.5
C03,-105.2946,40.1656,6266,5/29/2020,15.6
C03,-105.2946,40.1656,6266,5/30/2020,19.7
C03,-105.2946,40.1656,6266,5/31/2020,19.3
C03,-105.2946,40.1656,6266,6/1/2020,20.9
C03,-105.2946,40.1656,6266,6/2/2020,23.6
C03,-105.2946,40.1656,6266,6/3/2020,21.7
C03,-105.2946,40.1656,6266,6/4/2020,22.2
C03,-105.2946,40.1656,6266,6/5/2020,22.4
C03,-105.2946,40.1656,6266,6/6/2020,24.7
C03,-105.2946,40.1656,6266,6/7/2020,18.6
C03,-105.2946,40.1656,6266,6/8/2020,19.6
C03,-105.2946,40.1656,6266,6/9/2020,13.3
C03,-105.2946,40.1656,6266,6/10/2020,11.4
C03,-105.2946,40.1656,6266,6/11/2020,15.4
C03,-105.2946,40.1656,6266,6/12/2020,18.9
C03,-105.2946,40.1656,6266,6/13/2020,21.8
C03,-105.2946,40.1656,6266,6/14/2020,21.8
C03,-105.2946,40.1656,6266,6/15/2020,22.2
C03,-105.2946,40.1656,6266,6/16/2020,22.7
C03,-105.2946,40.1656,6266,6/17/2020,22.2
C03,-105.2946,40.1656,6266,6/18/2020,20.3
C03,-105.2946,40.1656,6266,6/19/2020,14.4
C03,-105.2946,40.1656,6266,6/20/2020,12.8
C03,-105.2946,40.1656,6266,6/21/2020,19.1
C03,-105.2946,40.1656,6266,6/22/2020,18.3
C03,-105.2946,40.1656,6266,6/23/2020,18.6
C03,-105.2946,40.1656,6266,6/24/2020,19.8
C03,-105.2946,40.1656,6266,6/25/2020,22.3
C03,-105.2946,40.1656,6266,6/26/2020,22.1
C03,-105.2946,40.1656,6266,6/27/2020,19.3
C03,-105.2946,40.1656,6266,6/28/2020,22.0
C03,-105.2946,40.1656,6266,6/29/2020,22.2
C03,-105.2946,40.1656,6266,6/30/2020,22.7
C03,-105.2946,40.1656,6266,7/1/2020,18.2
C03,-105.2946,40.1656,6266,7/2/2020,20.1
C03,-105.2946,40.1656,6266,7/3/2020,24.1
C03,-105.2946,40.1656,6266,7/4/2020,22.9
C03,-105.2946,40.1656,6266,7/5/2020,21.9
C03,-105.2946,40.1656,6266,7/6/2020,22.7
C03,-105.2946,40.1656,6266,7/7/2020,25.2
C03,-105.2946,40.1656,6266,7/8/2020,23.9
C03,-105.2946,40.1656,6266,7/9/2020,24.8
