Date,Collected_by,Site,Habitat,tree #,type_Canopy,Species,Status,dbh_ft,dbh_in,dbh_m,Notes_Canopy
7/26/2018,KHE,C05,C,1160,Standing,PIPO,L,NA,20.7,0.52578,
7/26/2018,KHE,C05,C,1161,Standing,PIPO,L,NA,22.5,0.5715,
7/26/2018,KHE,C05,C,1162,Standing,PIPO,L,NA,4.3,0.10922,
7/26/2018,KHE,C05,C,1163,Standing,PIPO,L,NA,10.5,0.2667,
7/26/2018,KHE,C05,C,1164,Standing,PIPO,L,NA,14,0.3556,
7/26/2018,KHE,C05,C,1165,Standing,PIPO,L,NA,15.7,0.39878,
7/26/2018,KHE,C05,C,1171,Standing,PSME,L,NA,22.3,0.56642,
7/26/2018,KHE,C05,C,1172,Standing,PIPO,L,NA,6.9,0.17526,
7/26/2018,KHE,C05,C,1173,Standing,PSME,L,NA,17.7,0.44958,
7/26/2018,KHE,C05,C,1175,Standing,PIPO,L,NA,29.3,0.74422,
7/26/2018,KHE,C05,C,1176,Standing,PSME,L,NA,23.4,0.59436,
7/26/2018,KHE,C05,C,1178,Standing,PSME,L,NA,13.9,0.35306,
7/26/2018,KHE,C05,C,1180,Standing,PSME,L,NA,6,0.1524,
7/26/2018,KHE,C05,C,1181,Standing,PSME,L,NA,13.2,0.33528,
7/26/2018,KHE,C05,C,1182,Standing,PIPO,L,NA,10.6,0.26924,
7/26/2018,KHE,C05,C,1183,Standing,PIPO,L,NA,6.4,0.16256,
7/26/2018,KHE,C05,C,1184,Standing,PIPO,L,NA,13.2,0.33528,"Right angle band below dbh., measured at bend"
7/26/2018,KHE,C05,C,1185,Standing,PICO,L,NA,20.1,0.51054,I really doubt there were PICO here. Plus that is a LARGE PICO (jmd)
7/26/2018,KHE,C05,C,1189,Standing,PIPO,L,NA,8.7,0.22098,
7/26/2018,KHE,C05,C,1190,Standing,PIPO,L,NA,7.4,0.18796,
7/26/2018,KHE,C05,C,1192,Standing,PIPO,L,NA,8.5,0.2159,
7/26/2018,KHE,C05,C,1193,Standing,PIPO,L,NA,11.5,0.2921,
7/26/2018,KHE,C05,C,1194,Standing,PIPO,L,NA,11,0.2794,
7/26/2018,KHE,C05,C,1196,Standing,PSME,L,NA,19.8,0.50292,
7/26/2018,KHE,C05,C,1197,Standing,PSME,D,NA,9.5,0.2413,
7/26/2018,KHE,C05,C,1199,Standing,PSME,L,NA,9.9,0.25146,
7/26/2018,KHE,C05,C,1200,Standing,PSME,L,NA,19.7,0.50038,
7/26/2018,KHE,C05,C,1201,Standing,PIPO,L,NA,17.7,0.44958,
7/26/2018,KHE,C05,C,1202,Standing,PIPO,L,NA,8.5,0.2159,
7/26/2018,KHE,C05,C,1203,Standing,PIPO,L,NA,15.4,0.39116,
7/26/2018,KHE,C05,C,1204,Standing,PSME,L,NA,20,0.508,Growing prostrate. Measured at dbh along ground
6/3/2021,JMD,C101,C,3,Standing,PSME,L,0,7.7,0.19558,
6/3/2021,JMD,C101,C,5,Standing,PSME,L,0,9.4,0.23876,
6/3/2021,JMD,C101,C,9,Standing,PSME,L,0,8.5,0.2159,
6/3/2021,JMD,C101,C,10,Standing,PIPO,L,0,8.1,0.20574,
6/3/2021,JMD,C101,C,11,Standing,PSME,L,0,4.8,0.12192,
6/3/2021,JMD,C101,C,13,Standing,PIPO,L,0,8.7,0.22098,
6/3/2021,JMD,C101,C,1,Standing,PSME,L,1,7.0,0.7874,
6/3/2021,JMD,C101,C,4,Standing,PSME,L,1,8.8,0.83312,
6/3/2021,JMD,C101,C,16,Standing,PSME,L,1,2.0,0.6604,
6/3/2021,JMD,C101,C,18,Standing,PSME,L,1,2.8,0.68072,
6/3/2021,JMD,C101,C,7,Standing,PIPO,L,5,6.1,3.20294,
6/2/2021,JMD,C104,C,3,Standing,PSME,L,0,7.5,0.1905,
6/2/2021,JMD,C104,C,4,Standing,PSME,L,0,7.5,0.1905,
6/2/2021,JMD,C104,C,5,Standing,PSME,L,0,6.9,0.17526,
6/2/2021,JMD,C104,C,9,Standing,PSME,L,0,9.4,0.23876,
6/2/2021,JMD,C104,C,10,Standing,PSME,L,0,6.0,0.1524,
6/2/2021,JMD,C104,C,11,Standing,JUSC2,L,0,8.7,0.22098,Rocky Mnt Juniper. Changed from JUOC to JUSC2
6/2/2021,JMD,C104,C,19,Standing,PSME,L,0,8.9,0.22606,
6/2/2021,JMD,C104,C,21,Standing,PIPO,D,0,7.1,0.18034,Sap
6/2/2021,JMD,C104,C,1,Standing,PIPO,L,1,3.6,0.70104,Mistletoe
6/2/2021,JMD,C104,C,6,Standing,PIPO,L,1,4.3,0.71882,
6/2/2021,JMD,C104,C,8,Standing,PIPO,L,1,2.1,0.66294,Mistletoe
6/2/2021,JMD,C104,C,12,Standing,PIPO,L,1,4.1,0.71374,
