Date,Collected_by,Site,Habitat,Index,Type,Species,Status,dbh_in,dbh_m,Notes
6/28/2018,KHE,C03,C,343,Standing,PIPO,L,26.9,0.68326,
6/28/2018,KHE,C03,C,344,Standing,PIPO,L,36.9,0.93726,
6/28/2018,KHE,C03,C,345,Standing,PIPO,L,26.9,0.68326,
6/28/2018,KHE,C03,C,346,Standing,PIPO,L,20.5,0.5207,
6/28/2018,KHE,C03,C,347,Standing,PIPO,L,25,0.635,
6/28/2018,KHE,C03,C,348,Standing,PIPO,L,8.8,0.22352,
6/28/2018,KHE,C03,C,349,Standing,PIPO,L,23.3,0.59182,
6/28/2018,KHE,C03,C,350,Standing,PIPO,L,45.6,1.15824,
6/28/2018,KHE,C03,C,351,Standing,PIPO,L,26.4,0.67056,
6/28/2018,KHE,C03,C,352,Standing,PIPO,L,12.8,0.32512,
6/28/2018,KHE,C03,C,353,Standing,PIPO,L,30.1,0.76454,
6/28/2018,KHE,C03,C,354,Standing,PIPO,L,24.7,0.62738,
6/28/2018,KHE,C03,C,355,Standing,PIPO,L,14.1,0.35814,
6/28/2018,KHE,C03,C,356,Standing,PIPO,L,22.2,0.56388,
6/28/2018,KHE,C03,C,357,Standing,PIPO,L,29.6,0.75184,
6/28/2018,KHE,C03,C,358,Standing,PIPO,L,44,1.1176,
6/28/2018,KHE,C03,C,359,Standing,PIPO,L,29.1,0.73914,
6/28/2018,KHE,C03,C,360,Standing,PIPO,L,22.5,0.5715,
6/28/2018,KHE,C03,C,361,Standing,PIPO,L,29.2,0.74168,
6/28/2018,KHE,C03,C,362,Standing,PIPO,L,35.8,0.90932,
6/28/2018,KHE,C03,C,363,Standing,PIPO,L,25.4,0.64516,
6/28/2018,KHE,C03,C,364,Standing,PIPO,L,6.5,0.1651,
6/28/2018,KHE,C03,C,365,Standing,PIPO,L,33.9,0.86106,
6/28/2018,KHE,C03,C,366,Standing,PIPO,L,42,1.0668,
7/26/2018,KHE,C05,C,1160,Standing,PIPO,L,20.7,0.52578,
7/26/2018,KHE,C05,C,1161,Standing,PIPO,L,22.5,0.5715,
7/26/2018,KHE,C05,C,1162,Standing,PIPO,L,4.3,0.10922,
7/26/2018,KHE,C05,C,1163,Standing,PIPO,L,10.5,0.2667,
7/26/2018,KHE,C05,C,1164,Standing,PIPO,L,14,0.3556,
7/26/2018,KHE,C05,C,1165,Standing,PIPO,L,15.7,0.39878,
7/26/2018,KHE,C05,C,1171,Standing,PSME,L,22.3,0.56642,
7/26/2018,KHE,C05,C,1172,Standing,PIPO,L,6.9,0.17526,
7/26/2018,KHE,C05,C,1173,Standing,PSME,L,17.7,0.44958,
7/26/2018,KHE,C05,C,1175,Standing,PIPO,L,29.3,0.74422,
7/26/2018,KHE,C05,C,1176,Standing,PSME,L,23.4,0.59436,
7/26/2018,KHE,C05,C,1178,Standing,PSME,L,13.9,0.35306,
