OID_,Join_Count,TARGET_FID,JOIN_FID,Lat,Long,Site_ID,Year,Location,Elevation,GPS_concat,GPS_concat_X,GPS_concat_Y,Notes,BUFF_DIST,ORIG_FID,pointid,grid_code,EVT_NAME,Shape_Length,Shape_Area
1,1,1,517073,40.178489999999996,-105.293869999999998,T05,2020,Heil sites,2039,"40.1784899999999, -105.293869999999",-105.293869999999004,40.178489999999897,,500.000000000000000,1,517073,6,Southern Rocky Mountain Ponderosa Pine Woodland,0.032728898424835,0.000083025454602
2,1,1,517074,40.178489999999996,-105.293869999999998,T05,2020,Heil sites,2039,"40.1784899999999, -105.293869999999",-105.293869999999004,40.178489999999897,,500.000000000000000,1,517074,6,Southern Rocky Mountain Ponderosa Pine Woodland,0.032728898424835,0.000083025454602
3,1,1,517075,40.178489999999996,-105.293869999999998,T05,2020,Heil sites,2039,"40.1784899999999, -105.293869999999",-105.293869999999004,40.178489999999897,,500.000000000000000,1,517075,6,Southern Rocky Mountain Ponderosa Pine Woodland,0.032728898424835,0.000083025454602
4,1,1,517076,40.178489999999996,-105.293869999999998,T05,2020,Heil sites,2039,"40.1784899999999, -105.293869999999",-105.293869999999004,40.178489999999897,,500.000000000000000,1,517076,6,Southern Rocky Mountain Ponderosa Pine Woodland,0.032728898424835,0.000083025454602
5,1,1,517077,40.178489999999996,-105.293869999999998,T05,2020,Heil sites,2039,"40.1784899999999, -105.293869999999",-105.293869999999004,40.178489999999897,,500.000000000000000,1,517077,6,Southern Rocky Mountain Ponderosa Pine Woodland,0.032728898424835,0.000083025454602
6,1,1,517078,40.178489999999996,-105.293869999999998,T05,2020,Heil sites,2039,"40.1784899999999, -105.293869999999",-105.293869999999004,40.178489999999897,,500.000000000000000,1,517078,6,Southern Rocky Mountain Ponderosa Pine Woodland,0.032728898424835,0.000083025454602
7,1,1,517079,40.178489999999996,-105.293869999999998,T05,2020,Heil sites,2039,"40.1784899999999, -105.293869999999",-105.293869999999004,40.178489999999897,,500.000000000000000,1,517079,6,Southern Rocky Mountain Ponderosa Pine Woodland,0.032728898424835,0.000083025454602
8,1,1,518764,40.178489999999996,-105.293869999999998,T05,2020,Heil sites,2039,"40.1784899999999, -105.293869999999",-105.293869999999004,40.178489999999897,,500.000000000000000,1,518764,6,Southern Rocky Mountain Ponderosa Pine Woodland,0.032728898424835,0.000083025454602
9,1,1,518765,40.178489999999996,-105.293869999999998,T05,2020,Heil sites,2039,"40.1784899999999, -105.293869999999",-105.293869999999004,40.178489999999897,,500.000000000000000,1,518765,6,Southern Rocky Mountain Ponderosa Pine Woodland,0.032728898424835,0.000083025454602
10,1,1,518766,40.178489999999996,-105.293869999999998,T05,2020,Heil sites,2039,"40.1784899999999, -105.293869999999",-105.293869999999004,40.178489999999897,,500.000000000000000,1,518766,6,Southern Rocky Mountain Ponderosa Pine Woodland,0.032728898424835,0.000083025454602
