DateCollected,BeeWeighedBy,DateBeeWeighed,PolWeighedBy,DatePolWeighed,DateEntered,Site,Habitat,BoxID,NestID,BoxNest_ID,NumCells_Complete,NumCells_Progress,Capped,Collected,Species,Cell_num-New-Old,Cell_num2,Cell_occupant,Life_stage,Sex,BeeMass_mg,PollenMass_mg,Nest notes,Cell_Notes,nBee_check,PollenMass_nCell_check,WrittenNotes from,Notes
6/30/2021,NA,NA,AGF,11/12/2021,,C05,Control,B,9,C05-B09,1,1,N,Y,O. lignaria,1,1.01,Pollen,NA,NA,NA,220.3,,,,,,BoxCollections have O lig recorded - what happened to them? Collected for pollen sample. Weighed?
6/30/2021,AF,1/21/2022,NA,NA,,C05,Control,B,11,C05-B11,4,0,Y,N,O. lignaria,1,11.01,Pupae,Pupae,F,52.9,NA,,,,,,Nest: looks like there was once pollen in cell. Removed? Didn't find in pollen samples
6/30/2021,,,,,,C05,Control,B,11,C05-B11,4,0,Y,N,O. lignaria,2,11.02,Pollen,NA,NA,NA,NA,,1/2 ball pollen,,,,Nest: looks like there was once pollen in cell. Removed? Didn't find in pollen samples
6/30/2021,,,,,,C05,Control,B,11,C05-B11,4,0,Y,N,O. lignaria,3,11.03,Pollen,NA,NA,NA,NA,,1/2 ball pollen,,,,Nest: looks like there was once pollen in cell. Removed? Didn't find in pollen samples
6/30/2021,,,,,,C05,Control,B,11,C05-B11,4,0,Y,N,O. lignaria,4,11.04,Pollen,NA,NA,NA,NA,,1/4 ball pollen,,,,Nest: looks like there was once pollen in cell. Removed? Didn't find in pollen samples
6/30/2021,NA,NA,AGF,11/12/2021,,C05,Control,B,19,C05-B19,9,0,Y,Y,O. lignaria,1,19.01,Pollen,NA,NA,NA,128.8,"Have 8 pollen samples (1-5, 7-9), but only have weights for 6 samples. No larvae",,,,,Collected for pollen samples. Weighed? Num of larvae?
6/30/2021,NA,NA,AGF,11/12/2021,,C05,Control,B,19,C05-B19,9,0,Y,Y,O. lignaria,2,19.02,Pollen,NA,NA,NA,88.4,"Have 8 pollen samples (1-5, 7-9), but only have weights for 6 samples. No larvae",,,,,Collected for pollen samples. Weighed? Num of larvae?
6/30/2021,NA,NA,AGF,11/12/2021,,C05,Control,B,19,C05-B19,9,0,Y,Y,O. lignaria,3,19.03,Pollen,NA,NA,NA,142.4,"Have 8 pollen samples (1-5, 7-9), but only have weights for 6 samples. No larvae",,,,,Collected for pollen samples. Weighed? Num of larvae?
6/30/2021,NA,NA,AGF,11/12/2021,,C05,Control,B,19,C05-B19,9,0,Y,Y,O. lignaria,4,19.04,Pollen,NA,NA,NA,171.6,"Have 8 pollen samples (1-5, 7-9), but only have weights for 6 samples. No larvae",,,,,Collected for pollen samples. Weighed? Num of larvae?
6/30/2021,NA,NA,AGF,11/12/2021,,C05,Control,B,19,C05-B19,9,0,Y,Y,O. lignaria,5,19.05,Pollen,NA,NA,NA,NA,"Have 8 pollen samples (1-5, 7-9), but only have weights for 6 samples. No larvae",,,,,Collected for pollen samples. Weighed? Num of larvae?
6/30/2021,NA,NA,AGF,11/12/2021,,C05,Control,B,19,C05-B19,9,0,Y,Y,O. lignaria,6,19.06,Empty,NA,NA,NA,NA,"Have 8 pollen samples (1-5, 7-9), but only have weights for 6 samples. No larvae",,,,,Collected for pollen samples. Weighed? Num of larvae?
6/30/2021,NA,NA,AGF,11/12/2021,,C05,Control,B,19,C05-B19,9,0,Y,Y,O. lignaria,7,19.07,Pollen,NA,NA,NA,173.3,"Have 8 pollen samples (1-5, 7-9), but only have weights for 6 samples. No larvae",,,,,Collected for pollen samples. Weighed? Num of larvae?
6/30/2021,NA,NA,AGF,11/12/2021,,C05,Control,B,19,C05-B19,9,0,Y,Y,O. lignaria,8,19.08,Pollen,NA,NA,NA,NA,"Have 8 pollen samples (1-5, 7-9), but only have weights for 6 samples. No larvae",,,,,Collected for pollen samples. Weighed? Num of larvae?
6/30/2021,NA,NA,AGF,11/12/2021,,C05,Control,B,19,C05-B19,9,0,Y,Y,O. lignaria,9,19.09,Pollen,NA,NA,NA,NA,"Have 8 pollen samples (1-5, 7-9), but only have weights for 6 samples. No larvae",,,,,Collected for pollen samples. Weighed? Num of larvae?
