Date,Site,Habitat,Recorder,LineDistance,Code,Family,Genus,Species,Species2,NumBlooms,NumStems,PollenCollected (Y/N),Notes
6/8/2021,C05,Control,JMD,90-92,ARUV,ERICACEAE,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,41,21,N,
6/8/2021,C05,Control,JMD,92-95.7,ARUV,ERICACEAE,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,32,17,N,
6/8/2021,C05,Control,JMD,92-95.7,ARUV,ERICACEAE,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,34,15,N,
6/8/2021,C05,Control,JMD,95.7-98.5,ARUV,ERICACEAE,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,29,13,N,Tree data collected in 2020
6/8/2021,C05,Control,JMD,87-90,ARUV,ERICACEAE,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,7,7,Y,
6/8/2021,C05,Control,JMD,35.7,ARUV,ERICACEAE,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,20,6,Y,
6/8/2021,C05,Control,JMD,90-92,ARUV,ERICACEAE,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,11,6,N,
6/8/2021,C05,Control,JMD,95.7-98.5,ARUV,ERICACEAE,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,19,6,N,
6/8/2021,C05,Control,JMD,90-92,ARUV,ERICACEAE,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,10,4,N,
6/8/2021,C05,Control,JMD,38.9,ARUV,ERICACEAE,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,4,2,Y,
6/8/2021,C05,Control,JMD,17.2,ARUV,ERICACEAE,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,3,1,Y,bearberry
6/8/2021,C05,Control,JMD,25.4,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,3,2,Y,"yellow flowers, parsley leaves, collected from H05/H06. Changed from LOMAT? To LOMAT"
6/8/2021,C05,Control,JMD,40,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,2,2,Y,Changed from LOMAT? To LOMAT
6/3/2021,C101,Control,JMD,54.11,CARO2,CAMPANULACEAE,Campanula,rotundifolia,Campanula rotundifolia,6,4,Y,Changed from CAPA3 to CARO2
6/3/2021,C101,Control,JMD,55.2,CARO2,CAMPANULACEAE,Campanula,rotundifolia,Campanula rotundifolia,7,1,Y,Changed from CAPA3 to CARO2
6/3/2021,C101,Control,JMD,55.4,CARO2,CAMPANULACEAE,Campanula,rotundifolia,Campanula rotundifolia,3,1,Y,Changed from CAPA3 to CARO2
6/3/2021,C101,Control,JMD,78.11,CARO2,CAMPANULACEAE,Campanula,rotundifolia,Campanula rotundifolia,7,1,Y,Changed from CAPA3 to CARO2
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,2,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,2,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,2,1,N,
6/3/2021,C101,Control,JMD,51-53,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,3,1,N,
6/3/2021,C101,Control,JMD,11.9,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,9,Y,"yellow flowers, cilantro leaves. Lomatium, changed from Apiacea to LOMAT"
6/3/2021,C101,Control,JMD,16,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,4,4,N,changed from Apiacea to LOMAT
6/3/2021,C101,Control,JMD,16.3,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,4,N,changed from Apiacea to LOMAT
6/3/2021,C101,Control,JMD,16.4,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,6,12,Y,changed from Apiacea to LOMAT
6/3/2021,C101,Control,JMD,17.7,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,5,N,changed from Apiacea to LOMAT
6/3/2021,C101,Control,JMD,19.2,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,2,5,N,changed from Apiacea to LOMAT
6/3/2021,C101,Control,JMD,19.2,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,4,Y,changed from Apiacea to LOMAT
6/3/2021,C101,Control,JMD,21.3,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,4,N,changed from Apiacea to LOMAT
6/3/2021,C101,Control,JMD,21.9,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,2,N,changed from Apiacea to LOMAT
6/3/2021,C101,Control,JMD,23.1,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,8,8,N,changed from Apiacea to LOMAT
6/3/2021,C101,Control,JMD,27.3,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,6,N,changed from Apiacea to LOMAT
6/3/2021,C101,Control,JMD,27.7,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,5,N,changed from Apiacea to LOMAT
6/3/2021,C101,Control,JMD,31,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,4,N,Most likely a Lomatium. Changed from APIA to LOMAT
6/3/2021,C101,Control,JMD,40.2,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,3,2,N,Most likely a Lomatium. Changed from APIA to LOMAT
6/3/2021,C101,Control,JMD,41.3,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,2,N,Most likely a Lomatium. Changed from APIA to LOMAT
6/3/2021,C101,Control,JMD,47.6,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,2,N,Most likely a Lomatium. Changed from APIA to LOMAT
6/3/2021,C101,Control,JMD,47.8,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,1,N,Most likely a Lomatium. Changed from APIA to LOMAT
6/3/2021,C101,Control,JMD,51.3,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,6,N,Most likely a Lomatium. Changed from APIA to LOMAT
6/3/2021,C101,Control,JMD,68.11,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,3,N,Most likely a Lomatium. Changed from APIA to LOMAT
6/3/2021,C101,Control,JMD,68.2,LOMAT,APIACEAE,Lomatium,spp.,Lomatium spp.,1,2,N,collected. Most likely a Lomatium. Changed from APIA to LOMAT
6/3/2021,C101,Control,JMD,28.2,PENST,SCROPHULARIACEAE,Penstemon,spp.1,Penstemon spp.1,11,6,Y,
6/3/2021,C101,Control,JMD,29.8,PENST,SCROPHULARIACEAE,Penstemon,spp.1,Penstemon spp.1,15,2,N,collected
6/3/2021,C101,Control,JMD,33.3,PENST,SCROPHULARIACEAE,Penstemon,spp.1,Penstemon spp.1,7,5,N,
6/3/2021,C101,Control,JMD,28.11,PENST,SCROPHULARIACEAE,Penstemon,spp.1,Penstemon spp.1,4,1,N,
6/3/2021,C101,Control,JMD,28.8,PENST,SCROPHULARIACEAE,Penstemon,spp.1,Penstemon spp.1,9,3,N,
6/3/2021,C101,Control,JMD,29.2,PENST,SCROPHULARIACEAE,Penstemon,spp.1,Penstemon spp.1,7,3,Y,
6/2/2021,C104,Control,JMD,46.7,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,x3
6/2/2021,C104,Control,JMD,88.8,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,
6/2/2021,C104,Control,JMD,33-32,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,x3
6/2/2021,C104,Control,JMD,34-35,COPA3,SCROPHULARIACEAE,Collinsia,parviflora,Collinsia parviflora,1,1,N,x50
