Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
C05,-105.4131,40.0717,2519,2021-01,9.67,-7.8,-2.5,2.9
C05,-105.4131,40.0717,2519,2021-02,34.22,-10.8,-4.9,0.9
C05,-105.4131,40.0717,2519,2021-03,97.16,-6.1,-0.1,5.9
C05,-105.4131,40.0717,2519,2021-04,93.52,-3.7,2.6,8.9
C05,-105.4131,40.0717,2519,2021-05,121.68,1.9,8.1,14.4
C05,-105.4131,40.0717,2519,2021-06,63.64,8.3,15.7,23
C05,-105.4131,40.0717,2519,2021-07,45.78,10.9,18,25
C05,-105.4131,40.0717,2519,2021-08,45.41,9.5,16.7,23.9
C05,-105.4131,40.0717,2519,2021-09,16.36,6.9,14.7,22.5
C05,-105.4131,40.0717,2519,2021-10,4.68,0.7,7.1,13.4
C05,-105.4131,40.0717,2519,2021-11,7.61,-1.3,4.3,9.9
C05,-105.4131,40.0717,2519,2021-12,16.66,-4.2,0.9,6
C101,-105.3202,40.0579,2000,2021-01,8.07,-4.7,1.1,7
C101,-105.3202,40.0579,2000,2021-02,32.61,-9.8,-2.9,3.9
C101,-105.3202,40.0579,2000,2021-03,76.01,-3.2,3.2,9.5
C101,-105.3202,40.0579,2000,2021-04,87.6,-1.4,5.5,12.5
C101,-105.3202,40.0579,2000,2021-05,135.59,4.9,11.3,17.6
C101,-105.3202,40.0579,2000,2021-06,68.94,12.9,19.8,26.8
C101,-105.3202,40.0579,2000,2021-07,44.13,15.5,22.2,28.9
C101,-105.3202,40.0579,2000,2021-08,44.34,14.1,21.2,28.3
C101,-105.3202,40.0579,2000,2021-09,15.58,11.5,19,26.6
C101,-105.3202,40.0579,2000,2021-10,4.78,3.1,10.4,17.8
C101,-105.3202,40.0579,2000,2021-11,5.32,0.4,7.5,14.5
C101,-105.3202,40.0579,2000,2021-12,6.47,-1.4,4.7,10.8
C104,-105.3251,39.953,2213,2021-01,8.01,-6.3,-0.5,5.2
