ID,Site,BeesReleased,BeesCollected,Longitude,Latitude,Elevation_m,Date,FieldDay,tmean_C,DD_added,DD_accumulated
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,5/26/2021,1,10.7,5.7,1
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,5/27/2021,2,11.6,6.6,7.6
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,5/28/2021,3,9.7,4.7,12.3
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,5/29/2021,4,12.9,7.9,20.2
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,5/30/2021,5,11.7,6.7,26.9
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,5/31/2021,6,5.9,0.9,27.8
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/1/2021,7,5.5,0.5,28.3
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/2/2021,8,8.4,3.4,31.7
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/3/2021,9,10.9,5.9,37.6
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/4/2021,10,14,9,46.6
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/5/2021,11,16.3,11.3,57.9
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/6/2021,12,18.7,13.7,71.6
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/7/2021,13,16.7,11.7,83.3
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/8/2021,14,17.2,12.2,95.5
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/9/2021,15,17,12,107.5
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/10/2021,16,16.9,11.9,119.4
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/11/2021,17,19.2,14.2,133.6
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/12/2021,18,13.1,8.1,141.7
