"","term","estimate","std.error","statistic","p.value","frml"
"1","(Intercept)",0.617411195179981,0.698682537294666,0.883679156445828,0.376869435194927,"oligRatio ~ Habitat"
"2","HabitatControl",0.0294780650093969,0.965133956753755,0.0305429777940328,0.975634018032533,"oligRatio ~ Habitat"
"3","HabitatTreated",-0.450921182601061,0.893300819822797,-0.50478088970131,0.613712739621247,"oligRatio ~ Habitat"
"4","(Intercept)",0.585412509898856,0.557583779360438,1.04990950520537,0.293759721002724,"oligRatio ~ Year"
"5","Year2021",-0.258706801730524,0.734237145764071,-0.352347743808719,0.724577486566291,"oligRatio ~ Year"
"6","(Intercept)",0.0713716012034575,0.628140265779767,0.113623668297808,0.909536124267832,"oligRatio ~ HLI"
"7","HLI",-0.315478805738481,0.450131292737498,-0.700859528827423,0.483390683448435,"oligRatio ~ HLI"
"8","(Intercept)",7.42741862248895,10.1131896117936,0.734428890152262,0.462687384543782,"oligRatio ~ Ann_ppt_mm"
"9","Ann_ppt_mm",-0.0125900894037032,0.018180775780729,-0.692494619346675,0.488626763765568,"oligRatio ~ Ann_ppt_mm"
"10","(Intercept)",0.328680856925207,0.621755622948208,0.528633509362867,0.597059710054063,"oligRatio ~ Ann_tmin_C"
"11","Ann_tmin_C",0.0722928002133455,0.33576125059237,0.215310135061155,0.829525528294872,"oligRatio ~ Ann_tmin_C"
"12","(Intercept)",-0.405874941920006,2.38976827727621,-0.169838618153644,0.865137055211571,"oligRatio ~ Ann_tmean_C"
"13","Ann_tmean_C",0.102506532077481,0.287465618267601,0.356587103164658,0.721400933784321,"oligRatio ~ Ann_tmean_C"
"14","(Intercept)",-1.13141872935151,3.61433586183717,-0.313036411833739,0.754252998693599,"oligRatio ~ Ann_tmax_C"
"15","Ann_tmax_C",0.104897546049404,0.240743603844731,0.435723086196957,0.663037653681707,"oligRatio ~ Ann_tmax_C"
"16","(Intercept)",1.50671751671445,1.85932847939794,0.81035574585634,0.417735744614075,"oligRatio ~ bi_ppt_mm"
"17","bi_ppt_mm",-0.0179442171515819,0.0304600092278064,-0.589107410223661,0.555789222775849,"oligRatio ~ bi_ppt_mm"
"18","(Intercept)",0.933756121806591,1.20550032469588,0.774579734801945,0.438588035880837,"oligRatio ~ bi_tmin_C"
"19","bi_tmin_C",0.145846968319877,0.336373433041645,0.433586466686923,0.664588764013496,"oligRatio ~ bi_tmin_C"
"20","(Intercept)",0.074789916629354,0.899513674303966,0.0831448356660344,0.933736375535031,"oligRatio ~ bi_tmean_C"
"21","bi_tmean_C",0.122883958528573,0.280491262714485,0.438102625156129,0.661311891514399,"oligRatio ~ bi_tmean_C"
"22","(Intercept)",-0.531621575646026,2.26632280729912,-0.234574516010622,0.814538990977766,"oligRatio ~ bi_tmax_C"
"23","bi_tmax_C",0.104268438356095,0.241204078733381,0.432283064629889,0.665535694253508,"oligRatio ~ bi_tmax_C"
"24","(Intercept)",0.948622292908257,1.13995133291898,0.832160343616769,0.40531844457913,"oligRatio ~ qrt_ppt_mm"
"25","qrt_ppt_mm",-0.00805162711585793,0.016929633619797,-0.475593701357046,0.634363863569239,"oligRatio ~ qrt_ppt_mm"
"26","(Intercept)",-0.502673874511069,2.3812411854262,-0.211097421625143,0.832811252144609,"oligRatio ~ qrt_tmin_C"
"27","qrt_tmin_C",0.102128448421636,0.256089006480564,0.398800596031781,0.690040137849606,"oligRatio ~ qrt_tmin_C"
"28","(Intercept)",-1.40422802612803,4.13627011399548,-0.339491374457555,0.734239593869161,"oligRatio ~ qrt_tmean_C"
"29","qrt_tmean_C",0.112351391200952,0.251656616907148,0.446447196905637,0.655274246711131,"oligRatio ~ qrt_tmean_C"
"30","(Intercept)",-2.16605586871331,5.48558635364744,-0.394863142984354,0.692943891947635,"oligRatio ~ qrt_tmax_C"
"31","qrt_tmax_C",0.110448519897088,0.232439234928644,0.475171585945867,0.634664677852597,"oligRatio ~ qrt_tmax_C"
