"","null.deviance","df.null","logLik","AIC","BIC","deviance","df.residual","nobs","frml"
"1",489.711915911238,31,-318.678414350368,643.356828700737,647.754036409136,487.164873156499,29,32,"nOligGrowth ~ Habitat"
"2",489.711915911238,31,-319.410220603666,642.820441207331,645.751913012931,488.628485663093,30,32,"nOligGrowth ~ Year"
"3",489.711915911238,31,-319.824142954361,643.648285908722,646.579757714322,489.456330364484,30,32,"nOligGrowth ~ HLI"
"4",489.711915911238,31,-319.929321497546,643.858642995091,646.790114800691,489.666687450853,30,32,"nOligGrowth ~ Ann_ppt_mm"
"5",489.711915911238,31,-297.310202888636,598.620405777272,601.551877582871,444.428450233034,30,32,"nOligGrowth ~ Ann_tmin_C"
"6",489.711915911238,31,-303.857232298425,611.714464596849,614.645936402449,457.522509052612,30,32,"nOligGrowth ~ Ann_tmean_C"
"7",489.711915911238,31,-308.166335318501,620.332670637002,623.264142442601,466.140715092764,30,32,"nOligGrowth ~ Ann_tmax_C"
"8",489.711915911238,31,-317.814759680158,639.629519360317,642.560991165916,485.437563816079,30,32,"nOligGrowth ~ bi_ppt_mm"
"9",489.711915911238,31,-306.840803025092,617.681606050184,620.613077855784,463.489650505946,30,32,"nOligGrowth ~ bi_tmin_C"
"10",489.711915911238,31,-305.043003627742,614.086007255484,617.017479061084,459.894051711247,30,32,"nOligGrowth ~ bi_tmean_C"
"11",489.711915911238,31,-304.391592615076,612.783185230151,615.714657035751,458.591229685913,30,32,"nOligGrowth ~ bi_tmax_C"
"12",489.711915911238,31,-319.797758847528,643.595517695056,646.526989500656,489.403562150818,30,32,"nOligGrowth ~ qrt_ppt_mm"
"13",489.711915911238,31,-310.306755222235,624.61351044447,627.54498225007,470.421554900232,30,32,"nOligGrowth ~ qrt_tmin_C"
"14",489.711915911238,31,-304.80560278497,613.611205569939,616.542677375539,459.419250025702,30,32,"nOligGrowth ~ qrt_tmean_C"
"15",489.711915911238,31,-301.858487343885,607.716974687769,610.648446493369,453.525019143531,30,32,"nOligGrowth ~ qrt_tmax_C"
"16",489.711915911238,31,-314.867331646281,633.734663292562,636.666135098161,479.542707748324,30,32,"nOligGrowth ~ DD_accumulated"
"17",489.711915911238,31,-319.726215561447,643.452431122894,646.383902928493,489.260475578656,30,32,"nOligGrowth ~ stemdiv"
"18",489.711915911238,31,-315.755513570366,635.511027140731,638.442498946331,481.319071596493,30,32,"nOligGrowth ~ stemrich"
"19",489.711915911238,31,-312.750789124732,629.501578249464,632.433050055063,475.309622705226,30,32,"nOligGrowth ~ stemabun"
"20",489.711915911238,31,-319.386870951366,642.773741902731,645.705213708331,488.581786358493,30,32,"nOligGrowth ~ meanTreeCC"
"21",439.230684434926,29,-278.149819818779,560.299639637558,563.102034400882,414.852762660499,28,30,"nOligGrowth ~ Dead_BA_ha"
"22",439.230684434926,29,-285.118751243223,574.237502486446,577.039897249771,428.790625509387,28,30,"nOligGrowth ~ Live_BA_ha"
"23",489.711915911238,31,-316.4697999875,636.939599975,639.8710717806,482.747644430762,30,32,"nOligGrowth ~ EVT_H"
"24",489.711915911238,31,-319.897852064695,643.79570412939,646.727175934989,489.603748585152,30,32,"nOligGrowth ~ EVT_rich"
"25",489.711915911238,31,-315.36856080644,634.737121612881,637.66859341848,480.545166068643,30,32,"nOligGrowth ~ EVT_J"
"26",489.711915911238,31,-312.322241011132,628.644482022265,631.575953827864,474.452526478027,30,32,"nOligGrowth ~ Coniferous_Forest"
"27",489.711915911238,31,-318.969867407898,641.939734815797,644.871206621396,487.747779271559,30,32,"nOligGrowth ~ Deciduous_Forest"
"28",489.711915911238,31,-315.461291880542,634.922583761084,637.854055566684,480.730628216846,30,32,"nOligGrowth ~ Rangeland"
"29",489.711915911238,31,-312.109380217517,628.218760435034,631.150232240633,474.026804890796,30,32,"nOligGrowth ~ WUI"
