"","term","estimate","std.error","statistic","p.value","frml"
"1","(Intercept)",25.7777777777778,6.88594767175255,3.74353378889634,0.0007989087740652,"nOligGrowth ~ Habitat"
"2","HabitatControl",0.822222222222217,9.49162384117793,0.0866260859027234,0.931564094589689,"nOligGrowth ~ Habitat"
"3","HabitatTreated",3.37606837606838,8.95784167616679,0.376884131034682,0.709003510423756,"nOligGrowth ~ Habitat"
"4","(Intercept)",28.5,5.4370738901336,5.24179008339717,1.17683899137119e-05,"nOligGrowth ~ Year"
"5","Year2021",-1.94444444444444,7.24943185351147,-0.268220252805411,0.790365540326045,"nOligGrowth ~ Year"
"6","(Intercept)",26.7341809523498,6.2948628675491,4.24698385252651,0.000192905487695965,"nOligGrowth ~ HLI"
"7","HLI",-0.566017683852179,4.3492458741699,-0.130141569418677,0.897323147284359,"nOligGrowth ~ HLI"
"8","(Intercept)",22.2496226859758,94.5103213102084,0.235420030082709,0.815482420893148,"nOligGrowth ~ Ann_ppt_mm"
"9","Ann_ppt_mm",0.00930031123039049,0.170331750562628,0.0546011603806709,0.956818219136886,"nOligGrowth ~ Ann_ppt_mm"
"10","(Intercept)",18.8345509494019,5.94342614639418,3.16897198442159,0.00350772115095158,"nOligGrowth ~ Ann_tmin_C"
"11","Ann_tmin_C",5.63232791825747,3.19074200527372,1.76520944311644,0.0877072740439639,"nOligGrowth ~ Ann_tmin_C"
"12","(Intercept)",-6.53413917423954,23.0538759101858,-0.283429094513022,0.778794715309508,"nOligGrowth ~ Ann_tmean_C"
"13","Ann_tmean_C",4.11398656657449,2.76249136095791,1.48923056365611,0.146865249744913,"nOligGrowth ~ Ann_tmean_C"
"14","(Intercept)",-16.9881132075473,35.0047430871961,-0.485308895575386,0.630982641729289,"nOligGrowth ~ Ann_tmax_C"
"15","Ann_tmax_C",2.96209262435678,2.32384551769444,1.27465126309066,0.212217423069059,"nOligGrowth ~ Ann_tmax_C"
"16","(Intercept)",36.8240283059287,17.9449091391551,2.05205989177064,0.048979616105411,"nOligGrowth ~ bi_ppt_mm"
"17","bi_ppt_mm",-0.158925033744583,0.296721031528182,-0.535604210210791,0.5961809130472,"nOligGrowth ~ bi_ppt_mm"
"18","(Intercept)",42.1874290420813,11.4303071585199,3.69083948987633,0.000886223557396621,"nOligGrowth ~ bi_tmin_C"
"19","bi_tmin_C",4.3731298941069,3.21980802700781,1.3581958481453,0.184528766076043,"nOligGrowth ~ bi_tmin_C"
"20","(Intercept)",15.8319333980642,8.69835326718154,1.82010696872904,0.0787337416580703,"nOligGrowth ~ bi_tmean_C"
"21","bi_tmean_C",3.88562873753616,2.67619470248138,1.45192303606811,0.156901814877472,"nOligGrowth ~ bi_tmean_C"
"22","(Intercept)",-4.42287872378313,21.7265220521783,-0.203570489246331,0.840063731814862,"nOligGrowth ~ bi_tmax_C"
"23","bi_tmax_C",3.41308263240084,2.29976817977221,1.48409855498518,0.148214513769195,"nOligGrowth ~ bi_tmax_C"
"24","(Intercept)",28.9098576847365,11.1266337720118,2.5982573235633,0.0143865159878556,"nOligGrowth ~ qrt_ppt_mm"
"25","qrt_ppt_mm",-0.0238661967270489,0.167112780604984,-0.142814910030508,0.887391264147552,"nOligGrowth ~ qrt_ppt_mm"
"26","(Intercept)",1.05621208726821,23.1911357305754,0.0455437844674285,0.963975695225627,"nOligGrowth ~ qrt_tmin_C"
"27","qrt_tmin_C",2.85379471979045,2.48251143513025,1.1495595465971,0.259407630172638,"nOligGrowth ~ qrt_tmin_C"
"28","(Intercept)",-30.2360179781425,39.6131075518384,-0.763283161730625,0.451255570608029,"nOligGrowth ~ qrt_tmean_C"
"29","qrt_tmean_C",3.50986789667746,2.40274261949903,1.46077564371388,0.154472111459585,"nOligGrowth ~ qrt_tmean_C"
"30","(Intercept)",-56.2460081858818,51.9919283277081,-1.0818219288071,0.287951255845581,"nOligGrowth ~ qrt_tmax_C"
"31","qrt_tmax_C",3.54349238222859,2.19750195566815,1.61250931908782,0.117323057893232,"nOligGrowth ~ qrt_tmax_C"
"32","(Intercept)",21.9630890769432,7.40401150507257,2.96637695145342,0.00586456391205231,"nOligGrowth ~ DD_accumulated"
"33","DD_accumulated",0.00704334225119455,0.00840109978753802,0.838383358050629,0.408445953867373,"nOligGrowth ~ DD_accumulated"
"34","(Intercept)",28.9477877352678,9.61094226503352,3.01196146402684,0.00523008171691457,"nOligGrowth ~ stemdiv"
"35","stemdiv",-1.07117754552862,6.19254348925235,-0.172978606833805,0.863830046771198,"nOligGrowth ~ stemdiv"
"36","(Intercept)",23.4425680203726,6.28217615740102,3.73159991585956,0.000793877497801646,"nOligGrowth ~ stemrich"
"37","stemrich",0.584506098378234,0.762702531105814,0.766361818061335,0.449449682084564,"nOligGrowth ~ stemrich"
"38","(Intercept)",24.7886515416729,4.35127286730931,5.69687360402232,3.26203569551026e-06,"nOligGrowth ~ stemabun"
"39","stemabun",0.0745209087998176,0.0721062660371155,1.03348728058473,0.309635759575705,"nOligGrowth ~ stemabun"
"40","(Intercept)",28.8975373845664,6.52907663041595,4.42597614032375,0.000117111551977665,"nOligGrowth ~ meanTreeCC"
"41","meanTreeCC",-5.07202940412838,18.5342700841091,-0.27365681956243,0.786223690693893,"nOligGrowth ~ meanTreeCC"
