"","term","estimate","std.error","statistic","p.value","frml"
"1","(Intercept)",4.86658061197888,0.738134714515823,6.59307917142347,3.17435853520897e-07,"sqrt(nOligGrowth) ~ Habitat"
"2","HabitatControl",0.0460629783847255,1.01744848904963,0.0452730323750854,0.964200000585564,"sqrt(nOligGrowth) ~ Habitat"
"3","HabitatTreated",-0.223116369322661,0.960230054526751,-0.232357202600395,0.817892593755622,"sqrt(nOligGrowth) ~ Habitat"
"4","(Intercept)",4.97524854945913,0.581122252294488,8.5614490407397,1.49374575177179e-09,"sqrt(nOligGrowth) ~ Year"
"5","Year2021",-0.328736500928638,0.774829669725984,-0.424269376577816,0.67439646713443,"sqrt(nOligGrowth) ~ Year"
"6","(Intercept)",4.59200751071422,0.672755645782404,6.82566922998288,1.42428506612282e-07,"sqrt(nOligGrowth) ~ HLI"
"7","HLI",-0.167031128750842,0.464820247606578,-0.359345638687014,0.721853611811686,"sqrt(nOligGrowth) ~ HLI"
"8","(Intercept)",6.07561564017091,10.1173097574389,0.600516914657447,0.552671841946342,"sqrt(nOligGrowth) ~ Ann_ppt_mm"
"9","Ann_ppt_mm",-0.00231808817174289,0.0182339776024313,-0.127130142544093,0.899685701815326,"sqrt(nOligGrowth) ~ Ann_ppt_mm"
"10","(Intercept)",3.82965496252032,0.63321414419964,6.04796181134088,1.2194321827687e-06,"sqrt(nOligGrowth) ~ Ann_tmin_C"
"11","Ann_tmin_C",0.631247182039561,0.339942470633208,1.85692355787066,0.0731653228969634,"sqrt(nOligGrowth) ~ Ann_tmin_C"
"12","(Intercept)",0.939885656741146,2.45724234797345,0.382496117046124,0.704789950983713,"sqrt(nOligGrowth) ~ Ann_tmean_C"
"13","Ann_tmean_C",0.466721043750986,0.294445532044242,1.58508448238521,0.123433227666697,"sqrt(nOligGrowth) ~ Ann_tmean_C"
"14","(Intercept)",-0.306531150759528,3.73284774779093,-0.082117239027745,0.935098930213015,"sqrt(nOligGrowth) ~ Ann_tmax_C"
"15","Ann_tmax_C",0.340074423249128,0.247811031931633,1.37231349467504,0.180140136630419,"sqrt(nOligGrowth) ~ Ann_tmax_C"
"16","(Intercept)",6.18343139673541,1.91305584054551,3.2322273431246,0.00298004146796625,"sqrt(nOligGrowth) ~ bi_ppt_mm"
"17","bi_ppt_mm",-0.0235085177259016,0.0316325871574963,-0.743174044185965,0.463156879351962,"sqrt(nOligGrowth) ~ bi_ppt_mm"
"18","(Intercept)",6.57625431482105,1.21355193210929,5.41901350969859,7.13569409215906e-06,"sqrt(nOligGrowth) ~ bi_tmin_C"
"19","bi_tmin_C",0.528378712169903,0.341845953744456,1.54566320409013,0.132670887627593,"sqrt(nOligGrowth) ~ bi_tmin_C"
"20","(Intercept)",3.40984877055153,0.923447209101887,3.69252160485474,0.000882213811083511,"sqrt(nOligGrowth) ~ bi_tmean_C"
"21","bi_tmean_C",0.46344456471179,0.284114067698753,1.63119189579582,0.113305142789115,"sqrt(nOligGrowth) ~ bi_tmean_C"
"22","(Intercept)",1.03315625269625,2.30786425750916,0.447667686405143,0.657609047469017,"sqrt(nOligGrowth) ~ bi_tmax_C"
"23","bi_tmax_C",0.402887529253055,0.244289112169293,1.64922425594577,0.109535729508501,"sqrt(nOligGrowth) ~ bi_tmax_C"
"24","(Intercept)",5.16836917092528,1.18953604321216,4.34486134356123,0.000146887821083994,"sqrt(nOligGrowth) ~ qrt_ppt_mm"
"25","qrt_ppt_mm",-0.00600040520008534,0.0178658415370035,-0.335859085487654,0.739314829212177,"sqrt(nOligGrowth) ~ qrt_ppt_mm"
"26","(Intercept)",1.52288088158666,2.46442015895933,0.617946934109539,0.541273454589794,"sqrt(nOligGrowth) ~ qrt_tmin_C"
"27","qrt_tmin_C",0.353875817989182,0.263805589198293,1.34142653711247,0.189849198626529,"sqrt(nOligGrowth) ~ qrt_tmin_C"
"28","(Intercept)",-2.06590012656517,4.20605480729778,-0.491172897457422,0.626878353947411,"sqrt(nOligGrowth) ~ qrt_tmean_C"
"29","qrt_tmean_C",0.417479704330957,0.255119271625388,1.63640991004386,0.112203505439889,"sqrt(nOligGrowth) ~ qrt_tmean_C"
"30","(Intercept)",-4.97662554974939,5.5211496121736,-0.90137487648884,0.374568882580668,"sqrt(nOligGrowth) ~ qrt_tmax_C"
"31","qrt_tmax_C",0.413726400950391,0.233358089621423,1.77292504245976,0.0863959135364972,"sqrt(nOligGrowth) ~ qrt_tmax_C"
"32","(Intercept)",4.22062950139132,0.793185017754219,5.32111601570764,9.40664121328338e-06,"sqrt(nOligGrowth) ~ DD_accumulated"
"33","DD_accumulated",0.000737186665593247,0.000900002178490402,0.819094312449054,0.419192240211825,"sqrt(nOligGrowth) ~ DD_accumulated"
"34","(Intercept)",4.72389997538976,1.02950525771035,4.58851466761407,7.42631520854275e-05,"sqrt(nOligGrowth) ~ stemdiv"
"35","stemdiv",0.0461635940097757,0.663333095234556,0.0695933827837312,0.944979131073378,"sqrt(nOligGrowth) ~ stemdiv"
"36","(Intercept)",4.33396860035139,0.671623493983515,6.45297348763944,3.95983944816123e-07,"sqrt(nOligGrowth) ~ stemrich"
"37","stemrich",0.0672981629250337,0.0815400469482024,0.825338780682629,0.415694341456351,"sqrt(nOligGrowth) ~ stemrich"
"38","(Intercept)",4.50119574126074,0.465371956971986,9.6722539332805,9.88439489955529e-11,"sqrt(nOligGrowth) ~ stemabun"
"39","stemabun",0.00823153974963725,0.00771182023258983,1.06739258714189,0.294309183343089,"sqrt(nOligGrowth) ~ stemabun"
"40","(Intercept)",5.01822211374913,0.69818448153174,7.1875302967773,5.34867212686575e-08,"sqrt(nOligGrowth) ~ meanTreeCC"
"41","meanTreeCC",-0.775071168732412,1.98195556305158,-0.391063847838774,0.698513676782217,"sqrt(nOligGrowth) ~ meanTreeCC"
"42","(Intercept)",5.30662151767719,0.614627890540849,8.63387685353421,1.24519308361042e-09,"sqrt(nOligGrowth) ~ TotMean_BA"
"43","TotMean_BA",-0.037161195885066,0.0348598662422311,-1.06601659417864,0.294920606322515,"sqrt(nOligGrowth) ~ TotMean_BA"
"44","(Intercept)",5.12396683100507,0.487250926592052,10.5160740623795,3.13298765667021e-11,"sqrt(nOligGrowth) ~ Dead_BA_ha"
"45","Dead_BA_ha",-0.038398792449482,0.0375191624031518,-1.02344482099249,0.314858987802229,"sqrt(nOligGrowth) ~ Dead_BA_ha"
"46","(Intercept)",5.20486475268786,0.506144637079519,10.2833545421328,5.17550604268077e-11,"sqrt(nOligGrowth) ~ Live_BA_ha"
"47","Live_BA_ha",-0.038800757642745,0.0332275512066752,-1.16772847332036,0.252764093507695,"sqrt(nOligGrowth) ~ Live_BA_ha"
"48","(Intercept)",5.31257725815387,50.3084334307983,0.105600132937186,0.916602556371144,"sqrt(nOligGrowth) ~ EVT_abund"
"49","EVT_abund",-0.000608076836406033,0.0585752137230173,-0.0103811287702923,0.991785935139178,"sqrt(nOligGrowth) ~ EVT_abund"
"50","(Intercept)",5.1885872116096,0.726915115914268,7.13781719215417,6.11388796743605e-08,"sqrt(nOligGrowth) ~ EVT_H"
"51","EVT_H",-0.926507266797791,1.43750733247047,-0.644523506677018,0.524134135365316,"sqrt(nOligGrowth) ~ EVT_H"
"52","(Intercept)",5.21798087432199,1.37560858001061,3.79321628997236,0.00067182073113279,"sqrt(nOligGrowth) ~ EVT_rich"
"53","EVT_rich",-0.141079292910586,0.435686921662468,-0.323808877191596,0.748329439102908,"sqrt(nOligGrowth) ~ EVT_rich"
"54","(Intercept)",5.22654871882787,0.781482753559454,6.68798984369429,2.07481103224964e-07,"sqrt(nOligGrowth) ~ EVT_J"
"55","EVT_J",-1.15618325164613,1.80562122223793,-0.640324358955599,0.526822622668513,"sqrt(nOligGrowth) ~ EVT_J"
"56","(Intercept)",4.94992177368753,0.38073261742175,13.001044689072,7.34503672850109e-14,"sqrt(nOligGrowth) ~ Barren"
"57","Barren",-313.520948546153,186.994010605897,-1.67663631327166,0.104005556475617,"sqrt(nOligGrowth) ~ Barren"
"58","(Intercept)",3.81943111411408,1.53780639698162,2.48368788269498,0.0188147198622834,"sqrt(nOligGrowth) ~ Coniferous_Forest"
"59","Coniferous_Forest",1.19875359337737,1.83892260533406,0.651878219290039,0.519443171348083,"sqrt(nOligGrowth) ~ Coniferous_Forest"
