"","term","estimate","std.error","statistic","p.value","frml"
"1","(Intercept)",4.53948884178276,0.774887018655448,5.85825898807737,2.68157426051874e-06,"sqrt(nOligGrowth) ~ Habitat"
"2","HabitatControl",0.373154748580852,1.03962002915744,0.358933781684907,0.72233714402768,"sqrt(nOligGrowth) ~ Habitat"
"3","HabitatTreated",0.103975400873465,0.984864212635634,0.105573336445247,0.916673588907522,"sqrt(nOligGrowth) ~ Habitat"
"4","(Intercept)",4.78232037837539,0.598541590649592,7.98995500577526,8.2188828480813e-09,"sqrt(nOligGrowth) ~ Year"
"5","Year2021",-0.135808329844889,0.785486866283073,-0.172897009070991,0.863933474233168,"sqrt(nOligGrowth) ~ Year"
"6","(Intercept)",4.36137914412488,0.684559177143044,6.37107687654815,5.78528602081373e-07,"sqrt(nOligGrowth) ~ HLI"
"7","HLI",-0.281735919113244,0.465965691135882,-0.604628032648623,0.550128042345621,"sqrt(nOligGrowth) ~ HLI"
"8","(Intercept)",8.94207192834455,10.2193377730318,0.875014812793653,0.388755520803874,"sqrt(nOligGrowth) ~ Ann_ppt_mm"
"9","Ann_ppt_mm",-0.00765600343457789,0.0184455047893258,-0.415060662314231,0.6811522858657,"sqrt(nOligGrowth) ~ Ann_ppt_mm"
"10","(Intercept)",3.80099142821906,0.62937744643485,6.03928763216735,1.43011721994572e-06,"sqrt(nOligGrowth) ~ Ann_tmin_C"
"11","Ann_tmin_C",0.599071681319875,0.338718767369443,1.76864035604636,0.0874727286928377,"sqrt(nOligGrowth) ~ Ann_tmin_C"
"12","(Intercept)",0.876221423175979,2.42890163251703,0.360748007019109,0.720902425570547,"sqrt(nOligGrowth) ~ Ann_tmean_C"
"13","Ann_tmean_C",0.463998895870057,0.290998696238399,1.59450506778191,0.121665050880664,"sqrt(nOligGrowth) ~ Ann_tmean_C"
"14","(Intercept)",-0.567193275387451,3.68608217147871,-0.153874289557662,0.878774676168818,"sqrt(nOligGrowth) ~ Ann_tmax_C"
"15","Ann_tmax_C",0.351452728176898,0.244518562267112,1.43732535034691,0.161328637395176,"sqrt(nOligGrowth) ~ Ann_tmax_C"
"16","(Intercept)",5.7877916832718,1.9299720684349,2.99889919545073,0.00551431692362373,"sqrt(nOligGrowth) ~ bi_ppt_mm"
"17","bi_ppt_mm",-0.0182037048370029,0.0317470474360659,-0.573398356923193,0.570795236368395,"sqrt(nOligGrowth) ~ bi_ppt_mm"
"18","(Intercept)",6.33398864255834,1.22780081835848,5.15880796612162,1.63132032671824e-05,"sqrt(nOligGrowth) ~ bi_tmin_C"
"19","bi_tmin_C",0.478839201656684,0.343302253940588,1.3948035474872,0.173667815335714,"sqrt(nOligGrowth) ~ bi_tmin_C"
"20","(Intercept)",3.4609905183063,0.921179371494623,3.7571298548412,0.000770350164233807,"sqrt(nOligGrowth) ~ bi_tmean_C"
"21","bi_tmean_C",0.421500062649746,0.285586962154931,1.47590793175314,0.150745061548864,"sqrt(nOligGrowth) ~ bi_tmean_C"
"22","(Intercept)",1.30001639123684,2.3123984614044,0.562193935403026,0.578303919059734,"sqrt(nOligGrowth) ~ bi_tmax_C"
"23","bi_tmax_C",0.366394199416887,0.245665747989077,1.49143379740988,0.146646401031001,"sqrt(nOligGrowth) ~ bi_tmax_C"
"24","(Intercept)",4.84991639667408,1.20774757060485,4.0156705877249,0.000383390764991914,"sqrt(nOligGrowth) ~ qrt_ppt_mm"
"25","qrt_ppt_mm",-0.00230090287330788,0.0179706377754269,-0.128036795469449,0.899003630517645,"sqrt(nOligGrowth) ~ qrt_ppt_mm"
"26","(Intercept)",1.43601054268791,2.43676260269283,0.589310809801906,0.560216119290919,"sqrt(nOligGrowth) ~ qrt_tmin_C"
"27","qrt_tmin_C",0.353875817989183,0.260747886167479,1.35715699632513,0.185200937133388,"sqrt(nOligGrowth) ~ qrt_tmin_C"
"28","(Intercept)",-1.80543098196321,4.1792583736712,-0.431997933733219,0.668938064954084,"sqrt(nOligGrowth) ~ qrt_tmean_C"
