"","term","estimate","std.error","statistic","p.value","frml"
"1","(Intercept)",0.5596157879355,0.267261189523985,2.09389095712783,0.0362696950059187,"nTstanCells ~ Habitat"
"2","HabitatControl",0.538996501708886,0.323667118901201,1.66528037676084,0.0958568316346343,"nTstanCells ~ Habitat"
"3","HabitatTreated",0.613104472892866,0.308606515100606,1.98668674474676,0.0469571216319998,"nTstanCells ~ Habitat"
"4","(Intercept)",1.04596855685711,0.164394230506749,6.36256244293301,1.98415331580008e-10,"nTstanCells ~ Year"
"5","Year2021",-0.0445200166404509,0.217792523949468,-0.204414806500798,0.838029360551701,"nTstanCells ~ Year"
"6","(Intercept)",1.15883162115894,0.185889479031037,6.23398175732932,4.54726059920944e-10,"nTstanCells ~ HLI"
"7","HLI",0.117904093267836,0.133372267447813,0.884022559742196,0.376684034755325,"nTstanCells ~ HLI"
"8","(Intercept)",-3.29672461340369,3.09088419216329,-1.06659596686356,0.286154322510117,"nTstanCells ~ Ann_ppt_mm"
"9","Ann_ppt_mm",0.00777495030133021,0.00554778476899864,1.40145132247687,0.161079154175515,"nTstanCells ~ Ann_ppt_mm"
"10","(Intercept)",0.666066098782259,0.217893098746879,3.05684807188874,0.00223677616192212,"nTstanCells ~ Ann_tmin_C"
"11","Ann_tmin_C",0.217579837698184,0.108627552418755,2.00298941523991,0.045178424610192,"nTstanCells ~ Ann_tmin_C"
"12","(Intercept)",0.396088279304201,0.729423173384293,0.543015760613249,0.587118951035869,"nTstanCells ~ Ann_tmean_C"
"13","Ann_tmean_C",0.0751327029447656,0.0862042458984436,0.871566152707591,0.383445102375977,"nTstanCells ~ Ann_tmean_C"
"14","(Intercept)",0.895577419790143,1.06327852388923,0.842279233210056,0.399631672339349,"nTstanCells ~ Ann_tmax_C"
"15","Ann_tmax_C",0.00831522492597223,0.0704433692239043,0.118041272267121,0.906034955924192,"nTstanCells ~ Ann_tmax_C"
"16","(Intercept)",1.01450757426567,0.539915533539836,1.87901164394045,0.0602429033348007,"nTstanCells ~ bi_ppt_mm"
"17","bi_ppt_mm",9.82401764667858e-05,0.00887937008078092,0.0110638677713663,0.991172490817509,"nTstanCells ~ bi_ppt_mm"
"18","(Intercept)",1.51035714582784,0.333995855306827,4.52208349843246,6.12338937210284e-06,"nTstanCells ~ bi_tmin_C"
"19","bi_tmin_C",0.147755671829442,0.0979587811406794,1.50834534800151,0.131466162644624,"nTstanCells ~ bi_tmin_C"
"20","(Intercept)",0.601991653902226,0.28294468558927,2.12759484295843,0.0333706901803923,"nTstanCells ~ bi_tmean_C"
"21","bi_tmean_C",0.136490004114768,0.0821889781363782,1.66068501166041,0.0967767251947695,"nTstanCells ~ bi_tmean_C"
"22","(Intercept)",-0.133427496509714,0.687846284819067,-0.193978654031418,0.846192596052302,"nTstanCells ~ bi_tmax_C"
"23","bi_tmax_C",0.122341813858159,0.0709675021141705,1.72391320271269,0.0847235135198255,"nTstanCells ~ bi_tmax_C"
"24","(Intercept)",0.841605689517116,0.344045513719997,2.44620451642355,0.0144369081259677,"nTstanCells ~ qrt_ppt_mm"
"25","qrt_ppt_mm",0.00278024439786468,0.00503130018339531,0.552589648107314,0.580544432081521,"nTstanCells ~ qrt_ppt_mm"
"26","(Intercept)",0.358457058371416,0.714988367838172,0.501346699464833,0.616127144545272,"nTstanCells ~ qrt_tmin_C"
"27","qrt_tmin_C",0.0711190514096483,0.0753510599026571,0.943836111947517,0.345253403754895,"nTstanCells ~ qrt_tmin_C"
"28","(Intercept)",-0.613032721251511,1.23135052040703,-0.497853950675938,0.618586986417556,"nTstanCells ~ qrt_tmean_C"
"29","qrt_tmean_C",0.0989229447886087,0.0738134551659233,1.34017496628823,0.180188468287667,"nTstanCells ~ qrt_tmean_C"
"30","(Intercept)",-1.4077099675458,1.61988134172873,-0.869020422226417,0.384835960641163,"nTstanCells ~ qrt_tmax_C"
"31","qrt_tmax_C",0.102445096580045,0.0678239816603843,1.51045535918283,0.130927271982875,"nTstanCells ~ qrt_tmax_C"
"32","(Intercept)",0.683719798074194,0.233902978652796,2.92309145446626,0.00346574705022256,"nTstanCells ~ DD_accumulated"
"33","DD_accumulated",0.000429432170830002,0.000252543031520178,1.70043167790076,0.0890497574893461,"nTstanCells ~ DD_accumulated"
"34","(Intercept)",1.21218393934221,0.281951694699334,4.29926105120542,1.71368525875056e-05,"nTstanCells ~ stemdiv"
"35","stemdiv",-0.133365760597957,0.184025564454914,-0.724713226626899,0.468627979104027,"nTstanCells ~ stemdiv"
"36","(Intercept)",0.804468090760095,0.192248954017173,4.1845121856332,2.85779118043822e-05,"nTstanCells ~ stemrich"
"37","stemrich",0.0300074589322498,0.0210257892900545,1.42717395852739,0.153529758747061,"nTstanCells ~ stemrich"
"38","(Intercept)",0.912339231381395,0.135728082324583,6.72181626496133,1.7947317846441e-11,"nTstanCells ~ stemabun"
"39","stemabun",0.00275615944586545,0.00190521045437865,1.44664304120897,0.147996924824617,"nTstanCells ~ stemabun"
"40","(Intercept)",0.967018981350589,0.203986032609166,4.74061370272042,2.13071836968229e-06,"nTstanCells ~ meanTreeCC"
"41","meanTreeCC",0.174944158102571,0.56194674141246,0.311318039967358,0.755558854321302,"nTstanCells ~ meanTreeCC"
"42","(Intercept)",1.15662550954771,0.132557974175542,8.72543139514215,2.65167820699822e-18,"nTstanCells ~ Dead_BA_ha"
"43","Dead_BA_ha",-0.0152895231212724,0.0120139666826178,-1.27264570688329,0.203143791658509,"nTstanCells ~ Dead_BA_ha"
"44","(Intercept)",1.09725029342036,0.145386434275853,7.54712981913063,4.44955013712523e-14,"nTstanCells ~ Live_BA_ha"
"45","Live_BA_ha",-0.00454137482877787,0.00975606298587334,-0.465492569631185,0.641578756741263,"nTstanCells ~ Live_BA_ha"
"46","(Intercept)",1.52662706163601,0.188096987063903,8.11616967111421,4.81127902259552e-16,"nTstanCells ~ EVT_H"
"47","EVT_H",-1.29698054731257,0.441579592695887,-2.93713878260174,0.00331255824237873,"nTstanCells ~ EVT_H"
"48","(Intercept)",1.79025371729976,0.343986420971751,5.20443136168675,1.94591528952794e-07,"nTstanCells ~ EVT_rich"
"49","EVT_rich",-0.260172432501826,0.114660089822806,-2.26907577783947,0.0232637180804504,"nTstanCells ~ EVT_rich"
"50","(Intercept)",1.56364575562086,0.193941336382511,8.06246767598259,7.47695204121412e-16,"nTstanCells ~ EVT_J"
"51","EVT_J",-1.59726454282263,0.527837246862491,-3.02605500524433,0.00247767225193951,"nTstanCells ~ EVT_J"
"52","(Intercept)",-0.0977607978963163,0.560265175369253,-0.174490227474669,0.861480210303937,"nTstanCells ~ Coniferous_Forest"
"53","Coniferous_Forest",1.34334496500245,0.643367199087452,2.0879910677881,0.0367986404270989,"nTstanCells ~ Coniferous_Forest"
"54","(Intercept)",1.09359498894843,0.139494108359411,7.83972170445187,4.51546049911652e-15,"nTstanCells ~ Deciduous_Forest"
"55","Deciduous_Forest",-9.83235554124273,12.5119374267072,-0.785837972643248,0.43196241711254,"nTstanCells ~ Deciduous_Forest"
"56","(Intercept)",1.11116208169282,0.130234305916517,8.53202290957878,1.43810567567623e-17,"nTstanCells ~ Rangeland"
"57","Rangeland",-0.675080332042875,0.596375164947802,-1.13197257652733,0.257645963944656,"nTstanCells ~ Rangeland"
"58","(Intercept)",1.35872399228729,0.121355671863626,11.1962133406848,4.25536256309792e-29,"nTstanCells ~ WUI"
"59","WUI",-16.3189393844023,4.46237818512068,-3.65700501109835,0.000255179393759636,"nTstanCells ~ WUI"
