"","term","estimate","std.error","statistic","p.value","frml"
"1","(Intercept)",31.3846153846154,9.42546006594278,3.32977012952589,0.00201569066876599,"nTotProvised ~ Habitat"
"2","HabitatControl",0.615384615384611,13.6044797657703,0.0452339689557961,0.96417080768169,"nTotProvised ~ Habitat"
"3","HabitatTreated",13.4725274725275,13.08942056798,1.02926843877907,0.310219582067701,"nTotProvised ~ Habitat"
"4","(Intercept)",42.2666666666667,8.73033783990051,4.84135521920974,2.30064095595663e-05,"nTotProvised ~ Year"
"5","Year2021",-9.51666666666666,11.1290407514776,-0.855120120339498,0.397988161473172,"nTotProvised ~ Year"
"6","(Intercept)",39.9407871944803,9.52801933714526,4.19192969505949,0.000165088149245602,"nTotProvised ~ HLI"
"7","HLI",2.97918336169806,6.59341598428527,0.451842166306304,0.654020420604249,"nTotProvised ~ HLI"
"8","(Intercept)",-35.9436918570891,147.695259567712,-0.243363882918737,0.809067768783905,"nTotProvised ~ Ann_ppt_mm"
"9","Ann_ppt_mm",0.130141222832584,0.265474822835944,0.490220584544877,0.626872322644087,"nTotProvised ~ Ann_ppt_mm"
"10","(Intercept)",26.6846644679428,9.1980403451743,2.9011249642912,0.00622696102897975,"nTotProvised ~ Ann_tmin_C"
"11","Ann_tmin_C",6.45064771684064,4.96406346405652,1.29946922789124,0.201821636467525,"nTotProvised ~ Ann_tmin_C"
"12","(Intercept)",12.2954563432423,35.2419718255008,0.34888673097302,0.729152011096045,"nTotProvised ~ Ann_tmean_C"
"13","Ann_tmean_C",2.91801800376529,4.21349479884104,0.692541024274651,0.492921589131131,"nTotProvised ~ Ann_tmean_C"
"14","(Intercept)",19.0812343176993,52.6562371298716,0.362373677986849,0.719134510991843,"nTotProvised ~ Ann_tmax_C"
"15","Ann_tmax_C",1.15349353406678,3.48613320152282,0.330880510693886,0.742601333902914,"nTotProvised ~ Ann_tmax_C"
"16","(Intercept)",64.0628744718594,27.9470017232713,2.29229865536934,0.0276742546174145,"nTotProvised ~ bi_ppt_mm"
"17","bi_ppt_mm",-0.454208258745747,0.45041251285617,-1.00842726563147,0.319799017869827,"nTotProvised ~ bi_ppt_mm"
"18","(Intercept)",53.2518733427831,18.6066425039873,2.86198186112145,0.00688942945604468,"nTotProvised ~ bi_tmin_C"
"19","bi_tmin_C",4.99485217010298,5.2805758746607,0.945891563469662,0.350340560830692,"nTotProvised ~ bi_tmin_C"
"20","(Intercept)",23.0337801866899,14.1598868314952,1.62669239244603,0.112290430755495,"nTotProvised ~ bi_tmean_C"
"21","bi_tmean_C",4.47182044161746,4.37707399012381,1.02164607034458,0.31358222996256,"nTotProvised ~ bi_tmean_C"
"22","(Intercept)",-0.116413824313738,35.4592453736633,-0.00328303163496541,0.997398161938463,"nTotProvised ~ bi_tmax_C"
"23","bi_tmax_C",3.9092759032608,3.75095073694338,1.04220934302284,0.304076878256734,"nTotProvised ~ bi_tmax_C"
"24","(Intercept)",49.6117425865372,17.0543184489646,2.90904281721966,0.00610042543870548,"nTotProvised ~ qrt_ppt_mm"
"25","qrt_ppt_mm",-0.199520229133707,0.244392044905038,-0.816394122857941,0.419500080084136,"nTotProvised ~ qrt_ppt_mm"
"26","(Intercept)",30.5001412319491,35.8192866011105,0.851500521816745,0.399969035802669,"nTotProvised ~ qrt_tmin_C"
"27","qrt_tmin_C",0.6320112200548,3.78556136217228,0.166953104068067,0.868316050644013,"nTotProvised ~ qrt_tmin_C"
"28","(Intercept)",-2.04142686494541,63.263625716905,-0.032268572055615,0.974431317876113,"nTotProvised ~ qrt_tmean_C"
"29","qrt_tmean_C",2.32992228660139,3.81916485556729,0.610060674182472,0.545550517652494,"nTotProvised ~ qrt_tmean_C"
"30","(Intercept)",-44.1289299372224,85.2816916330309,-0.517449045536177,0.60792272775615,"nTotProvised ~ qrt_tmax_C"
"31","qrt_tmax_C",3.40490869111293,3.5981629702828,0.946290848756446,0.350139630056366,"nTotProvised ~ qrt_tmax_C"
"32","(Intercept)",23.3143040754837,11.0151208744099,2.11657269505295,0.0410841344001489,"nTotProvised ~ DD_accumulated"
"33","DD_accumulated",0.0176712097934828,0.0130029913850174,1.35901111292316,0.18236995952101,"nTotProvised ~ DD_accumulated"
"34","(Intercept)",40.1722439351661,14.0899966059652,2.8511180704017,0.00708465154206924,"nTotProvised ~ stemdiv"
"35","stemdiv",-2.69587637869876,9.30769003352214,-0.289639681702917,0.773708839095659,"nTotProvised ~ stemdiv"
"36","(Intercept)",33.193219458336,9.6490582776009,3.44004756768751,0.00145624437354286,"nTotProvised ~ stemrich"
"37","stemrich",0.490095473144119,1.21246373127224,0.40421454308564,0.688382042680773,"nTotProvised ~ stemrich"
